adlist_id,user_fingerprint,key,count,rating
39144124,68db2965-67c1-431d-bf5f-1a9c673f6394,1,2,2.5
39297776,b5be59e6-5259-4d00-8118-f1bcbc6a893d,1,1,2.5
39457744,e15c2780-b03a-463e-aba9-76be81a3b62e,1,2,2.5
39465331,926da28c-000f-4676-a2ac-a24c348c0827,1,1,2.5
39887577,9c2439d8-f296-4c3c-b4dd-132a2915dbff,1,1,2.5
40089873,3618f309-2641-4646-ae4f-c3a7443df631,1,1,2.5
40222092,926da28c-000f-4676-a2ac-a24c348c0827,1,1,2.5
40789654,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,1,2.5
41114508,18e72b17-58d6-4ca4-8e94-ce07ae923a6b,1,1,2.5
41217197,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,1,3,3
41276008,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,4,4
41370642,b7464a9d-b1b5-4304-a6e5-ef5f09b3b4da,1,4,4
41422631,9a2c2d90-b3cc-42c8-834b-656e9c1de8e5,1,2,2.5
41522920,bc2eadf7-2b57-4305-b2ec-202abbf9a475,1,1,2.5
41579273,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,1,1,2.5
41583152,e15c2780-b03a-463e-aba9-76be81a3b62e,1,1,2.5
42004034,80053177-604d-483b-a831-09cd4c07a793,1,1,2.5
42101823,61e42f0b-8b7c-4f9f-a5e0-2a2db94bfcdf,1,1,2.5
42198135,3ce0978d-b387-43d4-93d7-8bf06bfc3ccd,1,2,2.5
42233637,044f265e-6406-451b-91e0-747012242979,1,1,2.5
42269463,9a2c2d90-b3cc-42c8-834b-656e9c1de8e5,1,1,2.5
42312579,7a1a9772-f52f-4eb4-983e-7febf40f026d,1,1,2.5
42425283,71b191f9-dad8-4ebf-833e-9c52777d9996,1,1,2.5
42553256,71b191f9-dad8-4ebf-833e-9c52777d9996,1,1,2.5
42866513,e15c2780-b03a-463e-aba9-76be81a3b62e,1,2,2.5
42896560,9c2439d8-f296-4c3c-b4dd-132a2915dbff,1,2,2.5
42896560,cdeb235b-d1e3-425c-889c-62f1447ce97c,1,1,2.5
43543491,425a2c49-db51-4375-ba74-6efa17754955,1,1,2.5
43838107,03ec0d30-ae73-4718-8f67-84d0c71bb3d6,1,1,2.5
43948638,9c2439d8-f296-4c3c-b4dd-132a2915dbff,1,1,2.5
44007811,89b9ccb6-f7a3-4d2b-a950-0d9a72804e6c,1,1,2.5
